wgs84_x,wgs84_y,country
13.61,52.29,DE
13.55,52.27,DE
13.89,52.09,DE
13.85,52.03,DE
13.63,52.17,DE
13.58,52.16,DE
13.73,52.09,DE
13.22,51.83,DE
13.54,51.47,DE
13.39,51.66,DE
12.87,52.65,DE
12.66,52.74,DE
13.1,52.6,DE
12.64,52.65,DE
12.39,52.8,DE
12.34,52.6,DE
12.31,52.61,DE
12.23,52.74,DE
13.13,52.61,DE
12.27,52.59,DE
13.07,52.63,DE
12.24,52.74,DE
12.33,52.8,DE
12.63,52.74,DE
12.95,52.54,DE
12.94,52.52,DE
12.36,52.77,DE
14.12,52.56,DE
14.39,52.51,DE
13.41,52.95,DE
13.25,53.02,DE
13.32,52.95,DE
13.05,52.79,DE
13.17,52.86,DE
13.36,53.02,DE
13.25,52.69,DE
13.27,52.69,DE
13.31,53.05,DE
13.25,53.01,DE
13.19,52.75,DE
13.42,52.95,DE
13.38,52.94,DE
13.25,52.75,DE
14.04,51.86,DE
13.97,51.87,DE
13.9,52.31,DE
14.05,52.36,DE
14.09,52.33,DE
14.14,52.45,DE
13.86,52.19,DE
12.49,52.92,DE
12.22,52.91,DE
12.43,52.78,DE
12.41,52.98,DE
12.31,52.87,DE
12.29,52.83,DE
12.46,52.89,DE
12.48,52.91,DE
12.82,53.02,DE
12.96,52.92,DE
12.8,52.83,DE
12.68,52.87,DE
12.63,52.87,DE
12.63,52.86,DE
12.86,53.17,DE
12.89,52.84,DE
12.95,52.93,DE
12.93,52.98,DE
12.83,52.96,DE
12.81,53.02,DE
12.73,52.72,DE
12.48,52.91,DE
12.85,53.17,DE
12.3,52.84,DE
12.74,52.72,DE
12.75,52.71,DE
13.08,52.38,DE
13.09,52.38,DE
12.98,52.45,DE
13.05,52.39,DE
13.07,52.42,DE
12.78,52.31,DE
12.49,52.51,DE
12.92,52.42,DE
12.91,52.44,DE
12.93,52.42,DE
13.09,52.35,DE
13.07,52.35,DE
12.96,52.36,DE
12.98,52.37,DE
13.05,52.46,DE
12.84,52.39,DE
13,52.47,DE
12.63,52.42,DE
13.14,52.35,DE
12.96,52.46,DE
12.93,52.33,DE
12.87,52.07,DE
12.88,52.12,DE
13.06,52.3,DE
12.91,52.43,DE
12.92,52.42,DE
13.21,52.4,DE
12.97,52.23,DE
11.85,53.23,DE
11.89,53.21,DE
12.03,53.24,DE
11.97,53.05,DE
12.25,53.2,DE
11.62,53.07,DE
11.5,53.1,DE
11.75,53.14,DE
11.82,53.03,DE
11.77,53.13,DE
11.92,53.12,DE
12.01,53.18,DE
11.83,52.97,DE
11.83,53.24,DE
11.56,53.07,DE
14.23,51.64,DE
13.14,52.24,DE
13.2,52.31,DE
13.38,52.32,DE
13.16,52.28,DE
13.16,52.3,DE
13.34,52.16,DE
13.44,52.18,DE
13.39,52.14,DE
13.52,52.11,DE
13.47,52.22,DE
13.22,52.22,DE
13.13,52.24,DE
13.14,52.23,DE
13.14,52.24,DE
13.47,52.31,DE
13.2,52.19,DE
14.01,53.02,DE
14.05,53.02,DE
14.13,53.02,DE
14.12,53.04,DE
13.97,53.03,DE
14.06,52.96,DE
14.18,53.06,DE
14.17,53.04,DE
13.94,53.04,DE
13.98,53.11,DE
14.12,53.1,DE
14.14,53.08,DE
13.98,52.98,DE
14.08,53.11,DE
14.44,53.27,DE
14.14,53.24,DE
13.6,53.4,DE
13.71,53.29,DE
13.94,53.35,DE
13.62,53.39,DE
14.24,53.39,DE
14.28,53.08,DE
13.53,53.14,DE
13.6,53.15,DE
13.62,53.07,DE
13.54,53.09,DE
14.28,53.05,DE
13.3,53.22,DE
14.05,53.02,DE
14.22,53.05,DE
14.04,53.19,DE
13.63,53.19,DE
14.09,53.38,DE
13.88,53.41,DE
14.12,53.36,DE
13.82,53.3,DE
13.53,52.99,DE
14.08,53,DE
13.84,53.25,DE
13.93,53.31,DE
12.9,52.66,DE
12.38,52.39,DE
14.19,52.04,DE
13.86,52.09,DE
12.6,52.75,DE
12.52,52.75,DE
18.26,52.74,PL
18.49,52.73,PL
18.23,52.74,PL
18.16,52.77,PL
18.54,52.61,PL
17.72,52.79,PL
18.08,52.73,PL
18.08,52.79,PL
18.08,52.79,PL
18.07,52.95,PL
17.75,52.78,PL
17.75,52.78,PL
18.27,52.91,PL
17.51,52.89,PL
17.75,52.74,PL
17.9,52.7,PL
18.22,52.68,PL
18.28,52.64,PL
18.25,52.69,PL
18.31,52.74,PL
18.31,52.74,PL
18.3,52.74,PL
18.25,52.74,PL
18.56,52.68,PL
18.57,52.69,PL
17.51,53.07,PL
18.76,52.47,PL
18.87,52.41,PL
18.62,52.67,PL
18.79,52.89,PL
18.49,52.76,PL
18.44,52.68,PL
18.07,52.77,PL
18.11,52.75,PL
18.1,52.77,PL
18.14,52.86,PL
18.03,52.87,PL
19.01,52.57,PL
19.01,52.57,PL
14.53,51.37,DE
14.53,51.38,DE
14.46,53.44,PL
14.46,53.41,PL
14.46,53.38,PL
14.49,53.35,PL
14.44,53.43,PL
