"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","bundesland","land","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y","dating_start","dating_certainty_start","dating_end","dating_certainty_end","dating_method","dating_certainty_range","dating_perio.do","dating_perio.do_match","sherd"
"LfDA Sachsen-Anhalt","Q1802049","55","444","Tüngeda","Behringen","Wartburgkreis","Thüringen","Deutschland","SBK","Lesefunde","Q1144458","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","1","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","10.58","51.03","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","34","149","Goldbach","Nessetal","Gotha","Thüringen","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","2","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","10.66","50.98","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","75","388","Schlotheim","Nottertal-Heilinger Höhen","Unstrut-Hainich-Kreis","Thüringen","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","3","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","10.66","51.24","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","463","179","Halberstadt 2","Halberstadt","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","4","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.06","51.87","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","139","40","Bilzingsleben 9","Knidelbrück","Sömmerda","Thüringen","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","5","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.06","51.29","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"W. Schier persönl. Kommunikation","Q15445052","","360","Quedlinburg KGA 2","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","","","Kreisgrabenanlage","Q1787688","0","6","Übernahme aus externer Datenbank","Expertenwissen","Koordinaten von Kollegen erhalten","11.11","51.81","-4735","+/- 10 years","-4550","+/- 10 years","Q173412","high certainty due to excessive radiocarbon dating and Bayesian modelling","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","380","358","Quedlinburg 24","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","7","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.17","51.81","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"W. Schier persönl. Kommunikation","Q15445052","","359","Quedlinburg KGA 1","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Schier et al. 2023","Q139555255","Kreisgrabenanlage","Q1787688","0","8","Übernahme aus externer Datenbank","Expertenwissen","Koordinaten von Kollegen erhalten","11.18","51.81","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","161","138","Gatersleben 24","Seeland","Salzlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","9","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.29","51.82","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","96","278","Mellingen","Mellingen","Weimarer Land","Thüringen","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","10","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.41","50.93","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","10","320","Oßmanstedt","Weimar","Weimarer Land","Thüringen","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","11","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.42","51.02","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","362","279","Memleben 1","Kaiserpfalz","Burgenlandkreis","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","12","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.5","51.27","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","506","261","Löderburg","Staßfurt","Salzlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","250","13","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.54","51.88","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","220","182","Helfta 65","Lutherstadt Eilsleben","Mansfeld-Südharz","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","14","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.56","51.5","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","534","201","Jersleben 2","Niedere Börde","Landkreis Börde","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","500","15","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.56","52.24","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","523","25","Barleben 20","Barleben","Landkreis Börde","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","16","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.63","52.21","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","478","272","Magdeburg-Prester 4","Magdeburg","Magdeburg","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","17","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.68","52.11","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","186","35","Bernburg 5","Bernburg","Salzlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","18","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.71","51.79","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","340","311","Niedermöllern (OT von Möllern) 8","Lanitz-Hasseltal","Burgenlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","19","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.71","51.16","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","492","90","Calbe 6","Calbe","Salzlandkreis","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","20","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.77","51.89","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","449","456","Wahlitz 7","Gommern","Jerichower Land","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","21","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.79","52.11","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","415","161","Gröbitz 10","Teuchern","Burgenlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","22","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.92","51.13","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","395","245","Krosigk 1","Petersburg","Saalekreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","23","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.93","51.61","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","294","233","Korbetha 4","Schkopau","Saalekreis","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","24","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.97","51.4","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","250","384","Schelkau 3","Teuchern","Burgenlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","25","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.01","51.1","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","266","281","Merzien 8","Köthen","Anhalt-Bitterfeld","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","26","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.03","51.75","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","312","457","Wallendorf 14","Schkopau","Saalekreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","27","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.07","51.36","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","432","158","Grana 2","Kretzschau","Burgenlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","400","28","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","12.11","51.05","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","206","505","Zörbig 8","Zörbig","Anhalt-Bitterfeld","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","29","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","12.11","51.63","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","117","438","Trebnitz","Gera","Gera","Thüringen","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","30","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","12.14","50.9","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Stäuble/Veit 2016","Q139304647","","113","Eythra","Zwenkau","Leipzig-Land","Sachsen","Deutschland","SBK","Ausgrabung","Q959782","Stäuble/Veit 2016","Q139304647","Kreisgrabenanlage und Siedlung","Q1787688","0","31","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von Wolfram/Stäuble 2021","12.3","51.24","-4800","+/- 100 years","-4750","+/- 100 years","Q173412","medium certainty, good 14C dating, but many mixed features","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","","422","Steckelsdorf 12","Stadt Rathenow","Havelland","Brandenburg","Deutschland","FBG","Lesefunde","Q1144458","Wetzel/Beran 2023","Q139304633","unbek.","Q59496158","0","32","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.3","52.59","-4550","+/- 100 years","-3900","+/- 100 years","Q816829","dating still very uncertain, for the whole group only few 14C dates available","","",""
"Denkmaldaten / BLDAM 2021","Q897952","12485","129","Friesack 4","Friesack","Havelland","Brandenburg","Deutschland","FBG","Ausgrabung","Q959782","Wetzel/Beran 2023","Q139304633","Siedlung","Q486972","0","33","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.54","52.75","-4550","+/- 100 years","-3900","+/- 100 years","Q173412","medium certainty, some 14C dates available","","",""
"Denkmaldaten / BLDAM 2021","Q897952","12485","129","Friesack 4","Friesack","Havelland","Brandenburg","Deutschland","Guhrau","Ausgrabung","Q959782","Wetzel/Beran 2023","Q139304633","Siedlung","Q486972","0","34","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","12.54","52.75","-4600","+/- 200 years","-4000","+/- 300 years","Q816829","very uncertain, no dated features","","",""
"LfDA Sachsen-Anhalt","Q1802049","","351","Prettin 6","Prettin","Jessen","Sachsen-Anhalt","Deutschland","SBK","Lesefunde","Q1144458","Wetzel 1973","Q139304617","unbek.","Q59496158","0","35","Übernahme aus externer Datenbank","digitale Datenbank","Koordinaten wurden aus dem WebGIS des Museum Szczecin übernommen und mit der Beschreibung in Czerniak et al 2020 überprüft","12.9","51.67","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r72g96p","exactMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9738","375","Rohrbeck 14","Rohrbeck","Teltow-Fläming","Brandenburg","Deutschland","SBK","Lesefunde","Q1144458","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","36","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.03","51.97","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9659","205","Jüterbog 31","Jüterbog","Teltow-Fläming","Brandenburg","Deutschland","SBK","Lesefunde","Q1144458","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","37","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.05","51.99","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch","Q139478072"
"Denkmaldaten / BLDAM 2021","Q897952","9574","57","Bochow 2","Bochow","Teltow-Fläming","Brandenburg","Deutschland","Rössener Kultur","Ausgrabung","Q959782","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","38","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.07","51.96","-4681","+/- 100 years","-4446","+/- 100 years","Q173412","Medium precision, four 14C dates","http://n2t.net/ark:/99152/p066jt92nth","closeMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9574","57","Bochow 2","Bochow","Teltow-Fläming","Brandenburg","Deutschland","Guhrau","Lesefunde","Q1144458","Wetzel 2013","Q139304611","unbek.","Q59496158","0","39","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.07","51.96","-4600","+/- 200 years","-4000","+/- 300 years","Q816829","very uncertain, no dated features","","",""
"Denkmaldaten / BLDAM 2021","Q897952","9588","56","Bochow 16","Bochow","Teltow-Fläming","Brandenburg","Deutschland","SBK","Ausgrabung","Q959782","Meyer 2011","Q139304614","Siedlung, Kreisgrabenanlage","Q1787688","0","40","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.08","51.96","-4804","+/- 100 years","-4597","+/- 100 years","Q173412","medium certainty, only one 14C date","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9579","59","Bochow 6/7","Bochow","Teltow-Fläming","Brandenburg","Deutschland","SBK","Lesefunde","Q1144458","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","41","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.09","51.96","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch","Q139478206|Q139478323"
"Denkmaldaten / BLDAM 2021","Q897952","9579","60","Bochow 7","Bochow","Teltow-Fläming","Brandenburg","Deutschland","Rössener Kultur","Lesefunde","Q1144458","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","43","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.09","51.97","-4700","+/- 100 years","-4400","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p066jt92nth","closeMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9587","55","Bochow 15","Bochow","Teltow-Fläming","Brandenburg","Deutschland","SBK","Lesefunde","Q1144458","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","44","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.09","51.96","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9578","58","Bochow 6","Bochow","Teltow-Fläming","Brandenburg","Deutschland","Rössener Kultur","Lesefunde","Q1144458","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","45","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.09","51.96","-4700","+/- 100 years","-4400","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p066jt92nth","closeMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9578","58","Bochow 6","Bochow","Teltow-Fläming","Brandenburg","Deutschland","SBK","Lesefunde","Q1144458","Eberhardt 2007","Q139304612","unbek.","Q59496158","0","46","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.09","51.96","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","24516","386","Schiaß 1","Schiaß","Teltow-Fläming","Brandenburg","Deutschland","SBK","Ausgrabung","Q959782","","","unbek.","Q59496158","0","47","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.14","52.26","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","24169","163","Groß Kienitz 7","Groß Kienitz","Teltow-Fläming","Brandenburg","Deutschland","Rössener Kultur","Ausgrabung","Q959782","Schmiederer 1997","Q139304643","Siedlung","Q486972","0","48","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.46","52.33","-4700","+/- 100 years","-4400","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p066jt92nth","closeMatch","Q139480083|Q139480156|Q139480236|Q139479639"
"Denkmaldaten / BLDAM 2021","Q897952","10304","407","Selchow 7","Selchow","Dahme-Spreewald","Brandenburg","Deutschland","Rössener Kultur","Ausgrabung","Q959782","Lehmphul 2015","Q139304610","Siedlung","Q486972","0","49","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.47","52.35","-4650","+/- 100 years","-4450","+/- 100 years","Q173412","Medium precision, four 14C dates","http://n2t.net/ark:/99152/p066jt92nth","closeMatch",""
"Denkmaldaten / BLDAM 2021","Q897952","9937","136","Gallun 4","Gallun","Dahme-Spreewald","Brandenburg","Deutschland","Guhrau","Einzelfund","Q1144458","","","unbek.","Q59496158","0","50","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.56","52.25","-4600","+/- 200 years","-4000","+/- 300 years","Q816829","very uncertain, no dated features","","",""
"Denkmaldaten / BLDAM 2021","Q897952","","504","Zöllmersdorf","Zöllmersdorf","Dahme-Spreewald","Brandenburg","Deutschland","SBK","Lesefunde","","Wetzel/Beran 2023","Q139304633","unbek.","Q59496158","0","53","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","13.66","51.85","-4700","+/- 100 years","-4400","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r72g96p","exactMatch",""
